,0
0,368.4228210449219
1,6.979965686798096
2,49.51483917236328
3,46.865909576416016
4,13.545125007629395
5,18.72923469543457
6,4.640944004058838
7,7.065476417541504
8,0.7336738109588623
9,3.0737102031707764
10,6.525323390960693
11,1.1620979309082031
12,0.04552362859249115
13,0.7569689154624939
14,5.905913352966309
15,5.263191223144531
16,0.3314954340457916
17,5.274398326873779
18,1.6530719995498657
19,0.700402021408081
20,2.3891031742095947
21,0.8606868982315063
22,0.035544395446777344
23,0.8887548446655273
24,1.7796813249588013
25,0.3182810842990875
26,0.025462038815021515
27,0.43648508191108704
28,1.3644933700561523
29,0.7663516402244568
30,0.012823041528463364
31,0.5874319672584534
32,0.632231593132019
33,0.03850479796528816
34,0.07909615337848663
35,0.4158201813697815
36,0.4524625539779663
37,0.10098882764577866
38,0.00559590756893158
39,0.1277845799922943
40,0.3902713656425476
41,0.15293040871620178
42,0.00015123574121389538
43,0.05938831716775894
44,0.20521366596221924
45,0.16143633425235748
46,0.005410844925791025
47,0.03159373998641968
48,0.1255502551794052
49,0.0988401398062706
50,0.011759632267057896
51,0.0038287893403321505
52,0.040921103209257126
53,0.11515771597623825
54,0.035210125148296356
55,0.0015828278847038746
56,0.03170359507203102
57,0.0519600473344326
58,0.019592661410570145
59,0.0002152757515432313
60,0.005450794938951731
61,0.03244905173778534
62,0.0416494645178318
63,0.004367911722511053
64,0.00452227471396327
65,0.01936364360153675
66,0.01634286344051361
67,0.0021436968818306923
68,0.0004447343817446381
69,0.00528342230245471
70,0.021195555105805397
71,0.009583178907632828
72,0.0002557637053541839
73,0.006905828136950731
74,0.007861203514039516
75,0.0016269914340227842
76,0.00011101330892415717
77,0.0015866887988522649
78,0.008099223487079144
79,0.005850408226251602
80,9.746137948241085e-05
81,0.0022027718368917704
82,0.003788287052884698
83,0.0013721117284148932
84,8.488947787554935e-05
85,0.0003469314251560718
86,0.0022686149459332228
87,0.003997060935944319
88,0.0005037943483330309
89,0.0005737800383940339
90,0.0016137463971972466
91,0.0008998938137665391
92,0.0001222802238771692
93,0.0001024677258101292
94,0.0005118054104968905
95,0.0019728553015738726
96,0.0006940617458894849
97,0.00014815782196819782
98,0.0007147552678361535
99,0.0004875436134170741
